 3S CoDeSys (Update A),https://www.cisa.gov/news-events/ics-advisories/icsa-13-011-01
 Advantech WebAccess Vulnerabilities (UPDATE A),https://www.cisa.gov/news-events/ics-advisories/icsa-12-047-01a
 Beckhoff TwinCAT Read Access Violation,https://www.cisa.gov/news-events/ics-advisories/icsa-11-279-04
 CitectSCADA and Mitsubishi MX4 SCADA Batch Server Buffer Overflow,https://www.cisa.gov/news-events/ics-advisories/icsa-11-279-02
 Cogent DataHub Vulnerabilities,https://www.cisa.gov/news-events/ics-advisories/icsa-11-280-01
 Emerson DeltaV Buffer Overflow,https://www.cisa.gov/news-events/ics-advisories/icsa-12-265-01
 GE Proficy HMI SCADA CIMPLICITY Privilege Management Vulnerability,https://www.cisa.gov/news-events/ics-advisories/icsa-16-194-02
 GarrettCom - Use of Hard-Coded Password,https://www.cisa.gov/news-events/ics-advisories/icsa-12-243-01
 OPC Foundation UA Products Built with .NET Framework,https://www.cisa.gov/news-events/ics-advisories/icsa-21-133-03
 Rockwell Automation FactoryTalk and RSLinx Vulnerabilities (Update A),https://www.cisa.gov/news-events/ics-advisories/icsa-13-095-02a
 Scadatec Limited Procyon Telnet Buffer Overflow,https://www.cisa.gov/news-events/ics-advisories/icsa-11-216-01
 Schneider Electric Modicon M221,https://www.cisa.gov/news-events/ics-advisories/icsa-18-324-02
 Schweitzer Engineering Laboratories AcSELerator Improper Authorization Vulnerability,https://www.cisa.gov/news-events/ics-advisories/icsa-13-079-01
 Siemens SCALANCE and SIMATIC libcurl (Update B),https://www.cisa.gov/news-events/ics-advisories/icsa-21-068-10
 SpecView Directory Traversal,https://www.cisa.gov/news-events/ics-advisories/icsa-13-011-02
360 Systems Image Server 2000 Series Remote Root Access (Update A),https://www.cisa.gov/news-events/ics-advisories/icsa-13-038-01a
3S CODESYS Gateway Null Pointer Exception Vulnerability,https://www.cisa.gov/news-events/ics-advisories/icsa-15-293-03
3S CODESYS Gateway Use After Free,https://www.cisa.gov/news-events/ics-advisories/icsa-13-142-01
3S CODESYS Gateway-Server Vulnerabilities (Update A),https://www.cisa.gov/news-events/ics-advisories/icsa-13-050-01a
